time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.119475,0.0690,0.4340,0.8816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.149997,0.0690,0.4340,0.8816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.2360,34.1339,-21.8780,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.185874,0.0739,0.4324,0.9061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.2360,34.1339,-21.8780,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.209193,0.0739,0.4324,0.9061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.7603,33.1641,-22.2415,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.225557,0.0739,0.4324,0.9061,0.0324,-0.0301,0.1066,0.0000,0.0000,0.0000,45.7603,33.1641,-22.2415,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.245545,0.0635,0.4429,0.8896,0.0324,-0.0301,0.1066,0.0000,0.0000,0.0000,45.7603,33.1641,-22.2415,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.258317,0.0635,0.4429,0.8896,0.0324,-0.0301,0.1066,-0.0091,-0.0094,-0.0480,45.7603,33.1641,-22.2415,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.286065,0.0635,0.4429,0.8896,0.0210,0.0684,-0.0589,-0.0091,-0.0094,-0.0480,45.7603,33.1641,-22.2415,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.290798,0.0635,0.4429,0.8896,0.0210,0.0684,-0.0589,-0.0091,-0.0094,-0.0480,45.4338,33.7686,-22.9359,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.299764,0.0635,0.4429,0.8896,0.0210,0.0684,-0.0589,-0.0350,-0.0256,-0.0524,45.4338,33.7686,-22.9359,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.318532,0.0706,0.4441,0.9328,0.0210,0.0684,-0.0589,-0.0350,-0.0256,-0.0524,45.4338,33.7686,-22.9359,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.346734,0.0706,0.4441,0.9328,-0.1197,0.0933,0.2800,-0.0350,-0.0256,-0.0524,45.4338,33.7686,-22.9359,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.351093,0.0706,0.4441,0.9328,-0.0524,0.0627,0.2108,-0.0350,-0.0256,-0.0524,45.4338,33.7686,-22.9359,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.355126,0.0706,0.4441,0.9328,-0.0524,0.0627,0.2108,-0.0350,-0.0256,-0.0524,46.0507,33.8142,-22.5895,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.378488,0.0537,0.4353,0.9052,-0.0524,0.0627,0.2108,-0.0350,-0.0256,-0.0524,46.0507,33.8142,-22.5895,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.381463,0.0537,0.4353,0.9052,-0.0524,0.0627,0.2108,0.0155,0.1580,0.0243,46.0507,33.8142,-22.5895,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.406394,0.0537,0.4353,0.9052,0.0573,-0.0176,0.0116,0.0155,0.1580,0.0243,46.0507,33.8142,-22.5895,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.410267,0.0537,0.4353,0.9052,0.0573,-0.0176,0.0116,0.0155,0.1580,0.0243,46.4404,34.4634,-22.7322,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.439915,0.0537,0.4353,0.9052,0.0573,-0.0176,0.0116,0.0155,0.1580,0.0243,46.4404,34.4634,-22.7322,233.9062,-25.5312,4.3594,0.00000000,0.00000000,0.00000000,
0.447079,0.0127,0.4405,0.9445,0.0573,-0.0176,0.0116,0.0155,0.1580,0.0243,46.4404,34.4634,-22.7322,233.9062,-25.5312,4.3594,0.00000000,0.00000000,0.00000000,
0.459500,0.0127,0.4405,0.9445,0.0573,-0.0176,0.0116,0.0182,0.1632,0.0095,46.4404,34.4634,-22.7322,233.9062,-25.5312,4.3594,0.00000000,0.00000000,0.00000000,
0.466392,0.0127,0.4405,0.9445,-0.0538,-0.0183,0.1617,0.0182,0.1632,0.0095,46.4404,34.4634,-22.7322,233.9062,-25.5312,4.3594,0.00000000,0.00000000,0.00000000,
0.468802,0.0127,0.4405,0.9445,0.0514,-0.0462,0.1450,0.0182,0.1632,0.0095,46.4404,34.4634,-22.7322,233.9062,-25.5312,4.3594,0.00000000,0.00000000,0.00000000,
0.480491,0.0127,0.4405,0.9445,0.0514,-0.0462,0.1450,0.0182,0.1632,0.0095,46.4404,34.4634,-22.7322,228.9531,-25.2656,3.8594,0.00000000,0.00000000,0.00000000,
0.490339,0.0127,0.4405,0.9445,0.0514,-0.0462,0.1450,0.0182,0.1632,0.0095,47.0633,33.2203,-23.9520,228.9531,-25.2656,3.8594,0.00000000,0.00000000,0.00000000,
0.499456,0.0127,0.4405,0.9445,0.0514,-0.0462,0.1450,0.0983,0.3553,0.0612,47.0633,33.2203,-23.9520,228.9531,-25.2656,3.8594,0.00000000,0.00000000,0.00000000,
0.517344,-0.0178,0.4433,0.9240,0.0514,-0.0462,0.1450,0.0983,0.3553,0.0612,47.0633,33.2203,-23.9520,228.9531,-25.2656,3.8594,0.00000000,0.00000000,0.00000000,
0.525446,-0.0178,0.4433,0.9240,0.0514,-0.0462,0.1450,0.0983,0.3553,0.0612,47.0633,33.2203,-23.9520,229.9844,-26.5156,4.9531,0.00000000,0.00000000,0.00000000,
0.529102,-0.0178,0.4433,0.9240,-0.3227,-0.0467,0.2039,0.0983,0.3553,0.0612,47.0633,33.2203,-23.9520,229.9844,-26.5156,4.9531,0.00000000,0.00000000,0.00000000,
0.549568,-0.0178,0.4433,0.9240,-0.3227,-0.0467,0.2039,0.0983,0.3553,0.0612,47.8583,33.0923,-22.3180,229.9844,-26.5156,4.9531,0.00000000,0.00000000,0.00000000,
0.563883,-0.0178,0.4433,0.9240,-0.3227,-0.0467,0.2039,0.0983,0.3553,0.0612,47.8583,33.0923,-22.3180,230.9219,-26.1562,2.5156,0.00000000,0.00000000,0.00000000,
0.580450,-0.0194,0.4694,0.7877,-0.3227,-0.0467,0.2039,0.0983,0.3553,0.0612,47.8583,33.0923,-22.3180,230.9219,-26.1562,2.5156,0.00000000,0.00000000,0.00000000,
0.584437,-0.0194,0.4694,0.7877,-0.3227,-0.0467,0.2039,0.3025,0.0149,0.0424,47.8583,33.0923,-22.3180,230.9219,-26.1562,2.5156,0.00000000,0.00000000,0.00000000,
0.587528,-0.0194,0.4694,0.7877,-0.3999,-0.0392,-0.0156,0.3025,0.0149,0.0424,47.8583,33.0923,-22.3180,230.9219,-26.1562,2.5156,0.00000000,0.00000000,0.00000000,
0.589947,-0.0194,0.4694,0.7877,-0.3598,-0.1632,0.0520,0.3025,0.0149,0.0424,47.8583,33.0923,-22.3180,230.9219,-26.1562,2.5156,0.00000000,0.00000000,0.00000000,
0.606192,-0.0194,0.4694,0.7877,-0.3598,-0.1632,0.0520,0.3025,0.0149,0.0424,47.8583,33.0923,-22.3180,230.4219,-25.4219,3.7031,0.00000000,0.00000000,0.00000000,
0.609826,-0.0194,0.4694,0.7877,-0.3598,-0.1632,0.0520,0.3025,0.0149,0.0424,48.3663,32.1506,-22.2509,230.4219,-25.4219,3.7031,0.00000000,0.00000000,0.00000000,
0.647105,-0.0194,0.4694,0.7877,-0.3598,-0.1632,0.0520,0.3025,0.0149,0.0424,48.3663,32.1506,-22.2509,230.9375,-25.5000,3.9844,0.00000000,0.00000000,0.00000000,
0.651204,0.0542,0.4784,0.8193,-0.3598,-0.1632,0.0520,0.3025,0.0149,0.0424,48.3663,32.1506,-22.2509,230.9375,-25.5000,3.9844,0.00000000,0.00000000,0.00000000,
0.654385,0.0542,0.4784,0.8193,-0.1427,0.0518,-1.2692,0.3025,0.0149,0.0424,48.3663,32.1506,-22.2509,230.9375,-25.5000,3.9844,0.00000000,0.00000000,0.00000000,
0.661790,0.0542,0.4784,0.8193,-0.1427,0.0518,-1.2692,0.0897,0.1092,0.2184,48.3663,32.1506,-22.2509,230.9375,-25.5000,3.9844,0.00000000,0.00000000,0.00000000,
0.689662,0.0542,0.4784,0.8193,-0.1427,0.0518,-1.2692,0.0897,0.1092,0.2184,48.3663,32.1506,-22.2509,231.7969,-25.7031,3.0156,0.00000000,0.00000000,0.00000000,
0.693714,0.0542,0.4784,0.8193,-0.1427,0.0518,-1.2692,0.0897,0.1092,0.2184,47.9890,32.3697,-22.3691,231.7969,-25.7031,3.0156,0.00000000,0.00000000,0.00000000,
0.701397,0.0542,0.4784,0.8193,-0.1427,0.0518,-1.2692,-0.1995,0.2298,0.3060,47.9890,32.3697,-22.3691,231.7969,-25.7031,3.0156,0.00000000,0.00000000,0.00000000,
0.709253,0.0542,0.4784,0.8193,0.4535,0.1300,-0.4546,-0.1995,0.2298,0.3060,47.9890,32.3697,-22.3691,231.7969,-25.7031,3.0156,0.00000000,0.00000000,0.00000000,
0.712315,0.0542,0.4784,0.8193,0.4329,0.1835,-0.4440,-0.1995,0.2298,0.3060,47.9890,32.3697,-22.3691,231.7969,-25.7031,3.0156,0.00000000,0.00000000,0.00000000,
0.733266,0.1052,0.4556,0.9333,0.4329,0.1835,-0.4440,-0.1995,0.2298,0.3060,47.9890,32.3697,-22.3691,231.7969,-25.7031,3.0156,0.00000000,0.00000000,0.00000000,
0.736661,0.1052,0.4556,0.9333,0.4329,0.1835,-0.4440,-0.1995,0.2298,0.3060,47.9890,32.3697,-22.3691,231.5781,-25.7500,2.7031,0.00000000,0.00000000,0.00000000,
0.749755,0.1052,0.4556,0.9333,0.4329,0.1835,-0.4440,-0.1995,0.2298,0.3060,48.5365,33.5535,-23.8153,231.5781,-25.7500,2.7031,0.00000000,0.00000000,0.00000000,
0.768172,0.1052,0.4556,0.9333,0.7612,0.0167,0.4307,-0.1995,0.2298,0.3060,48.5365,33.5535,-23.8153,231.5781,-25.7500,2.7031,0.00000000,0.00000000,0.00000000,
0.771982,0.1052,0.4556,0.9333,0.7612,0.0167,0.4307,-0.1995,0.2298,0.3060,48.5365,33.5535,-23.8153,231.3281,-25.9844,2.0312,0.00000000,0.00000000,0.00000000,
0.787811,0.1140,0.4298,0.9479,0.7612,0.0167,0.4307,-0.1995,0.2298,0.3060,48.5365,33.5535,-23.8153,231.3281,-25.9844,2.0312,0.00000000,0.00000000,0.00000000,
0.790599,0.1140,0.4298,0.9479,0.7612,0.0167,0.4307,-0.1224,-0.0337,0.2483,48.5365,33.5535,-23.8153,231.3281,-25.9844,2.0312,0.00000000,0.00000000,0.00000000,
0.808602,0.1140,0.4298,0.9479,0.7612,0.0167,0.4307,-0.1224,-0.0337,0.2483,48.4309,33.5846,-23.4429,231.3281,-25.9844,2.0312,0.00000000,0.00000000,0.00000000,
0.813024,0.1140,0.4298,0.9479,0.7612,0.0167,0.4307,-0.1224,-0.0337,0.2483,48.4309,33.5846,-23.4429,230.9688,-26.2031,1.3594,0.00000000,0.00000000,0.00000000,
0.823348,0.1140,0.4298,0.9479,0.7612,0.0167,0.4307,0.0161,-0.1786,0.0072,48.4309,33.5846,-23.4429,230.9688,-26.2031,1.3594,0.00000000,0.00000000,0.00000000,
0.828090,0.1140,0.4298,0.9479,0.6794,-0.1990,0.5531,0.0161,-0.1786,0.0072,48.4309,33.5846,-23.4429,230.9688,-26.2031,1.3594,0.00000000,0.00000000,0.00000000,
0.830499,0.1140,0.4298,0.9479,0.5640,-0.1881,0.5129,0.0161,-0.1786,0.0072,48.4309,33.5846,-23.4429,230.9688,-26.2031,1.3594,0.00000000,0.00000000,0.00000000,
0.848425,0.1288,0.4319,0.9261,0.5640,-0.1881,0.5129,0.0161,-0.1786,0.0072,48.4309,33.5846,-23.4429,230.9688,-26.2031,1.3594,0.00000000,0.00000000,0.00000000,
0.857151,0.1288,0.4319,0.9261,0.5640,-0.1881,0.5129,0.0161,-0.1786,0.0072,48.4309,33.5846,-23.4429,230.9062,-26.7500,1.3438,0.00000000,0.00000000,0.00000000,
0.888964,0.1288,0.4319,0.9261,0.5640,-0.1881,0.5129,0.0161,-0.1786,0.0072,48.7337,34.3694,-23.0860,230.9062,-26.7500,1.3438,0.00000000,0.00000000,0.00000000,
0.892992,0.1288,0.4319,0.9261,0.7572,-0.1293,0.1646,0.0161,-0.1786,0.0072,48.7337,34.3694,-23.0860,230.9062,-26.7500,1.3438,0.00000000,0.00000000,0.00000000,
0.896867,0.1288,0.4319,0.9261,0.7572,-0.1293,0.1646,0.0161,-0.1786,0.0072,48.7337,34.3694,-23.0860,230.6875,-27.7031,1.4062,0.00000000,0.00000000,0.00000000,
0.900640,0.1288,0.4319,0.9261,0.7572,-0.1293,0.1646,-0.0304,0.0976,-0.2925,48.7337,34.3694,-23.0860,230.6875,-27.7031,1.4062,0.00000000,0.00000000,0.00000000,
0.923560,0.0179,0.4422,0.9512,0.7572,-0.1293,0.1646,-0.0304,0.0976,-0.2925,48.7337,34.3694,-23.0860,230.6875,-27.7031,1.4062,0.00000000,0.00000000,0.00000000,
0.940734,0.0179,0.4422,0.9512,0.7572,-0.1293,0.1646,-0.0304,0.0976,-0.2925,48.7337,34.3694,-23.0860,230.1094,-27.8906,1.4219,0.00000000,0.00000000,0.00000000,
0.949961,0.0179,0.4422,0.9512,0.7572,-0.1293,0.1646,-0.0304,0.0976,-0.2925,48.4615,32.8060,-23.0229,230.1094,-27.8906,1.4219,0.00000000,0.00000000,0.00000000,
0.954006,0.0179,0.4422,0.9512,0.0482,-0.1012,0.4847,-0.0304,0.0976,-0.2925,48.4615,32.8060,-23.0229,230.1094,-27.8906,1.4219,0.00000000,0.00000000,0.00000000,
0.956530,0.0179,0.4422,0.9512,0.0834,-0.1535,0.4777,-0.0304,0.0976,-0.2925,48.4615,32.8060,-23.0229,230.1094,-27.8906,1.4219,0.00000000,0.00000000,0.00000000,
0.979371,-0.0273,0.4600,0.8726,0.0834,-0.1535,0.4777,-0.0304,0.0976,-0.2925,48.4615,32.8060,-23.0229,230.1094,-27.8906,1.4219,0.00000000,0.00000000,0.00000000,
0.983323,-0.0273,0.4600,0.8726,0.0834,-0.1535,0.4777,0.1588,-0.0365,-0.2376,48.4615,32.8060,-23.0229,230.1094,-27.8906,1.4219,0.00000000,0.00000000,0.00000000,
0.985713,-0.0273,0.4600,0.8726,0.0834,-0.1535,0.4777,0.1588,-0.0365,-0.2376,48.4615,32.8060,-23.0229,228.5938,-27.0156,1.1719,0.00000000,0.00000000,0.00000000,
1.009912,-0.0273,0.4600,0.8726,0.0834,-0.1535,0.4777,0.1588,-0.0365,-0.2376,48.0015,33.3030,-22.3841,228.5938,-27.0156,1.1719,0.00000000,0.00000000,0.00000000,
1.014082,-0.0273,0.4600,0.8726,-0.5298,-0.0064,-0.0639,0.1588,-0.0365,-0.2376,48.0015,33.3030,-22.3841,228.5938,-27.0156,1.1719,0.00000000,0.00000000,0.00000000,
1.033745,-0.0273,0.4600,0.8726,-0.5298,-0.0064,-0.0639,0.0178,-0.0988,-0.0239,48.0015,33.3030,-22.3841,228.5938,-27.0156,1.1719,0.00000000,0.00000000,0.00000000,
1.037066,-0.0273,0.4600,0.8726,-0.5298,-0.0064,-0.0639,0.0178,-0.0988,-0.0239,48.0015,33.3030,-22.3841,227.9219,-26.6250,1.3906,0.00000000,0.00000000,0.00000000,
1.050634,0.0269,0.4587,0.8406,-0.5298,-0.0064,-0.0639,0.0178,-0.0988,-0.0239,48.0015,33.3030,-22.3841,227.9219,-26.6250,1.3906,0.00000000,0.00000000,0.00000000,
1.063638,0.0269,0.4587,0.8406,-0.5298,-0.0064,-0.0639,0.0178,-0.0988,-0.0239,48.0015,33.3030,-22.3841,227.5625,-26.4688,1.8125,0.00000000,0.00000000,0.00000000,
1.074030,0.0269,0.4587,0.8406,-0.5077,0.0499,-0.4867,0.0178,-0.0988,-0.0239,48.0015,33.3030,-22.3841,227.5625,-26.4688,1.8125,0.00000000,0.00000000,0.00000000,
1.077046,0.0269,0.4587,0.8406,-0.5023,0.0577,-0.4607,0.0178,-0.0988,-0.0239,48.0015,33.3030,-22.3841,227.5625,-26.4688,1.8125,0.00000000,0.00000000,0.00000000,
1.100050,0.0269,0.4587,0.8406,-0.5023,0.0577,-0.4607,0.0178,-0.0988,-0.0239,47.9529,32.9948,-22.8960,227.5625,-26.4688,1.8125,0.00000000,0.00000000,0.00000000,
1.103795,0.0269,0.4587,0.8406,-0.5023,0.0577,-0.4607,-0.0787,0.0398,0.0131,47.9529,32.9948,-22.8960,227.5625,-26.4688,1.8125,0.00000000,0.00000000,0.00000000,
1.106237,0.0269,0.4587,0.8406,-0.5023,0.0577,-0.4607,-0.0787,0.0398,0.0131,47.9529,32.9948,-22.8960,227.6094,-26.5000,2.2031,0.00000000,0.00000000,0.00000000,
1.111448,0.0358,0.4616,0.9413,-0.5023,0.0577,-0.4607,-0.0787,0.0398,0.0131,47.9529,32.9948,-22.8960,227.6094,-26.5000,2.2031,0.00000000,0.00000000,0.00000000,
1.132180,0.0358,0.4616,0.9413,0.1956,0.1057,-0.3336,-0.0787,0.0398,0.0131,47.9529,32.9948,-22.8960,227.6094,-26.5000,2.2031,0.00000000,0.00000000,0.00000000,
1.146892,0.0358,0.4616,0.9413,0.1956,0.1057,-0.3336,-0.0787,0.0398,0.0131,47.9529,32.9948,-22.8960,227.9844,-26.4219,1.9219,0.00000000,0.00000000,0.00000000,
1.150575,0.0358,0.4616,0.9413,0.1956,0.1057,-0.3336,-0.0787,0.0398,0.0131,49.3158,33.3709,-23.9505,227.9844,-26.4219,1.9219,0.00000000,0.00000000,0.00000000,
1.184181,0.0013,0.4489,0.9444,0.1956,0.1057,-0.3336,-0.0787,0.0398,0.0131,49.3158,33.3709,-23.9505,227.9844,-26.4219,1.9219,0.00000000,0.00000000,0.00000000,
1.188097,0.0013,0.4489,0.9444,0.1956,0.1057,-0.3336,0.0024,0.0763,-0.0661,49.3158,33.3709,-23.9505,227.9844,-26.4219,1.9219,0.00000000,0.00000000,0.00000000,
1.190745,0.0013,0.4489,0.9444,0.1956,0.1057,-0.3336,0.0024,0.0763,-0.0661,49.3158,33.3709,-23.9505,228.7031,-26.3906,1.3594,0.00000000,0.00000000,0.00000000,
1.193264,0.0013,0.4489,0.9444,-0.1707,0.0223,0.6528,0.0024,0.0763,-0.0661,49.3158,33.3709,-23.9505,228.7031,-26.3906,1.3594,0.00000000,0.00000000,0.00000000,
1.195548,0.0013,0.4489,0.9444,-0.1755,-0.0344,0.6448,0.0024,0.0763,-0.0661,49.3158,33.3709,-23.9505,228.7031,-26.3906,1.3594,0.00000000,0.00000000,0.00000000,
1.212720,0.0013,0.4489,0.9444,-0.1755,-0.0344,0.6448,0.0024,0.0763,-0.0661,48.8529,33.4485,-23.3924,228.7031,-26.3906,1.3594,0.00000000,0.00000000,0.00000000,
1.222759,0.0013,0.4489,0.9444,-0.1755,-0.0344,0.6448,0.1776,-0.0406,-0.0644,48.8529,33.4485,-23.3924,228.7031,-26.3906,1.3594,0.00000000,0.00000000,0.00000000,
1.229401,0.0013,0.4489,0.9444,-0.1755,-0.0344,0.6448,0.1776,-0.0406,-0.0644,48.8529,33.4485,-23.3924,229.3906,-26.7812,1.0625,0.00000000,0.00000000,0.00000000,
1.252585,0.0013,0.4489,0.9444,-0.2250,-0.0782,0.1674,0.1776,-0.0406,-0.0644,48.8529,33.4485,-23.3924,229.3906,-26.7812,1.0625,0.00000000,0.00000000,0.00000000,
1.256131,0.0016,0.4724,0.8534,-0.2250,-0.0782,0.1674,0.1776,-0.0406,-0.0644,48.8529,33.4485,-23.3924,229.3906,-26.7812,1.0625,0.00000000,0.00000000,0.00000000,
1.278221,0.0016,0.4724,0.8534,-0.2250,-0.0782,0.1674,0.1776,-0.0406,-0.0644,48.8529,33.4485,-23.3924,229.7812,-27.0938,1.0625,0.00000000,0.00000000,0.00000000,
1.289504,0.0016,0.4724,0.8534,-0.2250,-0.0782,0.1674,0.1776,-0.0406,-0.0644,48.3246,33.1696,-22.8217,229.7812,-27.0938,1.0625,0.00000000,0.00000000,0.00000000,
1.302959,0.0016,0.4724,0.8534,-0.2250,-0.0782,0.1674,0.1099,-0.0372,-0.0207,48.3246,33.1696,-22.8217,229.7812,-27.0938,1.0625,0.00000000,0.00000000,0.00000000,
1.318851,0.0322,0.4675,0.8533,-0.2250,-0.0782,0.1674,0.1099,-0.0372,-0.0207,48.3246,33.1696,-22.8217,229.7812,-27.0938,1.0625,0.00000000,0.00000000,0.00000000,
1.321302,0.0322,0.4675,0.8533,-0.1879,0.0477,-0.5674,0.1099,-0.0372,-0.0207,48.3246,33.1696,-22.8217,229.7812,-27.0938,1.0625,0.00000000,0.00000000,0.00000000,
1.323827,0.0322,0.4675,0.8533,-0.1896,0.0177,-0.5242,0.1099,-0.0372,-0.0207,48.3246,33.1696,-22.8217,229.7812,-27.0938,1.0625,0.00000000,0.00000000,0.00000000,
1.325711,0.0322,0.4675,0.8533,-0.1896,0.0177,-0.5242,0.1099,-0.0372,-0.0207,48.3246,33.1696,-22.8217,229.8906,-27.1406,1.2344,0.00000000,0.00000000,0.00000000,
1.349836,0.0322,0.4675,0.8533,-0.1896,0.0177,-0.5242,0.1099,-0.0372,-0.0207,48.4949,32.8331,-22.8880,229.8906,-27.1406,1.2344,0.00000000,0.00000000,0.00000000,
1.357696,0.0322,0.4675,0.8533,-0.1896,0.0177,-0.5242,0.1099,-0.0372,-0.0207,48.4949,32.8331,-22.8880,229.8125,-27.0625,1.4062,0.00000000,0.00000000,0.00000000,
1.374599,0.0322,0.4675,0.8533,0.1657,0.0104,-0.3119,0.1099,-0.0372,-0.0207,48.4949,32.8331,-22.8880,229.8125,-27.0625,1.4062,0.00000000,0.00000000,0.00000000,
1.381946,0.0322,0.4675,0.8533,0.1657,0.0104,-0.3119,-0.1212,0.2594,0.0231,48.4949,32.8331,-22.8880,229.8125,-27.0625,1.4062,0.00000000,0.00000000,0.00000000,
1.385309,0.0026,0.4541,0.9125,0.1657,0.0104,-0.3119,-0.1212,0.2594,0.0231,48.4949,32.8331,-22.8880,229.8125,-27.0625,1.4062,0.00000000,0.00000000,0.00000000,
1.396414,0.0026,0.4541,0.9125,0.1657,0.0104,-0.3119,-0.1212,0.2594,0.0231,48.4949,32.8331,-22.8880,229.7812,-26.8125,1.2031,0.00000000,0.00000000,0.00000000,
1.409544,0.0026,0.4541,0.9125,0.1657,0.0104,-0.3119,-0.1212,0.2594,0.0231,48.3323,32.9178,-23.7477,229.7812,-26.8125,1.2031,0.00000000,0.00000000,0.00000000,
1.423870,0.0026,0.4541,0.9125,0.1657,0.0104,-0.3119,0.2397,-0.5682,0.0057,48.3323,32.9178,-23.7477,229.7812,-26.8125,1.2031,0.00000000,0.00000000,0.00000000,
1.434359,0.0026,0.4541,0.9125,-0.1280,-0.0745,0.2045,0.2397,-0.5682,0.0057,48.3323,32.9178,-23.7477,229.7812,-26.8125,1.2031,0.00000000,0.00000000,0.00000000,
1.439640,0.0026,0.4541,0.9125,-0.3434,-0.1677,0.2518,0.2397,-0.5682,0.0057,48.3323,32.9178,-23.7477,229.7812,-26.8125,1.2031,0.00000000,0.00000000,0.00000000,
1.444009,0.0026,0.4541,0.9125,-0.3434,-0.1677,0.2518,0.2397,-0.5682,0.0057,48.3323,32.9178,-23.7477,229.8750,-26.6875,0.8594,0.00000000,0.00000000,0.00000000,
1.447324,0.0859,0.4504,0.8158,-0.3434,-0.1677,0.2518,0.2397,-0.5682,0.0057,48.3323,32.9178,-23.7477,229.8750,-26.6875,0.8594,0.00000000,0.00000000,0.00000000,
1.480444,0.0859,0.4504,0.8158,-0.3434,-0.1677,0.2518,0.2397,-0.5682,0.0057,48.3323,32.9178,-23.7477,230.0312,-27.0625,0.9375,0.00000000,0.00000000,0.00000000,
1.491102,0.0859,0.4504,0.8158,-0.3434,-0.1677,0.2518,0.2397,-0.5682,0.0057,47.9566,32.2325,-23.5951,230.0312,-27.0625,0.9375,0.00000000,0.00000000,0.00000000,
1.495655,0.0859,0.4504,0.8158,0.5320,-0.1260,-0.5470,0.2397,-0.5682,0.0057,47.9566,32.2325,-23.5951,230.0312,-27.0625,0.9375,0.00000000,0.00000000,0.00000000,
1.517892,0.0859,0.4504,0.8158,0.5320,-0.1260,-0.5470,-0.2602,0.0797,0.0187,47.9566,32.2325,-23.5951,230.0312,-27.0625,0.9375,0.00000000,0.00000000,0.00000000,
1.520977,0.1191,0.4277,0.9592,0.5320,-0.1260,-0.5470,-0.2602,0.0797,0.0187,47.9566,32.2325,-23.5951,230.0312,-27.0625,0.9375,0.00000000,0.00000000,0.00000000,
1.524016,0.1191,0.4277,0.9592,0.5320,-0.1260,-0.5470,-0.2602,0.0797,0.0187,47.9566,32.2325,-23.5951,230.1875,-27.4844,0.9531,0.00000000,0.00000000,0.00000000,
1.549591,0.1191,0.4277,0.9592,0.5320,-0.1260,-0.5470,-0.2602,0.0797,0.0187,48.0267,33.5290,-22.6030,230.1875,-27.4844,0.9531,0.00000000,0.00000000,0.00000000,
1.558438,0.1191,0.4277,0.9592,0.8664,-0.3686,0.0287,-0.2602,0.0797,0.0187,48.0267,33.5290,-22.6030,230.1875,-27.4844,0.9531,0.00000000,0.00000000,0.00000000,
1.562027,0.1191,0.4277,0.9592,0.6752,-0.2634,-0.0096,-0.2602,0.0797,0.0187,48.0267,33.5290,-22.6030,230.1875,-27.4844,0.9531,0.00000000,0.00000000,0.00000000,
1.565098,0.1191,0.4277,0.9592,0.6752,-0.2634,-0.0096,-0.2602,0.0797,0.0187,48.0267,33.5290,-22.6030,230.3125,-27.8125,0.9844,0.00000000,0.00000000,0.00000000,
1.583415,0.1191,0.4277,0.9592,0.6752,-0.2634,-0.0096,-0.1814,-0.5676,0.2022,48.0267,33.5290,-22.6030,230.3125,-27.8125,0.9844,0.00000000,0.00000000,0.00000000,
1.586736,0.1043,0.4643,0.9849,0.6752,-0.2634,-0.0096,-0.1814,-0.5676,0.2022,48.0267,33.5290,-22.6030,230.3125,-27.8125,0.9844,0.00000000,0.00000000,0.00000000,
1.605535,0.1043,0.4643,0.9849,0.6752,-0.2634,-0.0096,-0.1814,-0.5676,0.2022,48.0267,33.5290,-22.6030,230.3438,-28.0000,1.0469,0.00000000,0.00000000,0.00000000,
1.609532,0.1043,0.4643,0.9849,0.6752,-0.2634,-0.0096,-0.1814,-0.5676,0.2022,43.7561,33.4710,-22.4585,230.3438,-28.0000,1.0469,0.00000000,0.00000000,0.00000000,
1.615456,0.1043,0.4643,0.9849,-0.1470,0.1824,1.2888,-0.1814,-0.5676,0.2022,43.7561,33.4710,-22.4585,230.3438,-28.0000,1.0469,0.00000000,0.00000000,0.00000000,
1.623202,0.1043,0.4643,0.9849,-0.1470,0.1824,1.2888,0.2913,-2.0109,0.6947,43.7561,33.4710,-22.4585,230.3438,-28.0000,1.0469,0.00000000,0.00000000,0.00000000,
1.643935,0.2995,0.4740,0.7681,-0.1470,0.1824,1.2888,0.2913,-2.0109,0.6947,43.7561,33.4710,-22.4585,230.3438,-28.0000,1.0469,0.00000000,0.00000000,0.00000000,
1.647076,0.2995,0.4740,0.7681,-0.1470,0.1824,1.2888,0.2913,-2.0109,0.6947,43.7561,33.4710,-22.4585,230.0938,-27.7344,0.4531,0.00000000,0.00000000,0.00000000,
